"X","name","duration","avg"
0,"7 dwarfs train",3,79.2195421080654
1,"pirates of caribbean",7.5,29.2627044607908
2,"astro orbiter",1.5,27.7690143675274
3,"regal carrousel",2,9.41932185736741
4,"big thunder mtn",7,38.3753838823394
5,"splash mountain",18,45.1273979564432
6,"space mountain",10,58.3714659733459
7,"jungle cruise",8,44.217690253418
8,"mad tea party",1.5,12.7272069012412
9,"dumbo",1.5,21.8960221198157
10,"magic carpets",1.5,18.9134875247106
11,"peoplemover",10,16.9755659909136
12,"under the sea",7,20.2359176688691
13,"barnstormer",2,20.2265854722037
14,"winnie the pooh",4,29.5496012103779
15,"enchanted tiki rm",14.5,5.07385794282346
16,"haunted mansion",10,32.5614151735722
17,"buzz lightyear",4.5,33.0705492609176
